Verse,Verse_sans,Translation,Link
1/14,tataḥ śvetair hayair yuktemahati syandane sthitaumādhavaḥ pāṇḍavaś caivadivyau śaṅkhau pradadhmatuḥ,"On the other side, both Lord Kṛṣṇa and Arjuna, stationed on a great chariot drawn by white horses, sounded their transcendental conchshells.",https://vedabase.io/en/library/bg/1/14/
1/15,pāñcajanyaṁ hṛṣīkeśodevadattaṁ dhanañ-jayaḥpauṇḍraṁ dadhmau mahā-śaṅkhaṁbhīma-karmā vṛkodaraḥ,"Lord Kṛṣṇa blew His conchshell, called Pāñcajanya; Arjuna blew his, the Devadatta; and Bhīma, the voracious eater and performer of herculean tasks, blew his terrific conchshell, called Pauṇḍra.",https://vedabase.io/en/library/bg/1/15/
1/16-18,anantavijayaṁ rājākuntī-putro yudhiṣṭhiraḥnakulaḥ sahadevaś casughoṣa-maṇipuṣpakau,"King Yudhiṣṭhira, the son of Kuntī, blew his conchshell, the Ananta-vijaya, and Nakula and Sahadeva blew the Sughoṣa and Maṇipuṣpaka. That great archer the King of Kāśī, the great fighter Śikhaṇḍī, Dhṛṣṭadyumna, Virāṭa, the unconquerable Sātyaki, Drupada, the sons of Draupadī, and others, O King, such as the mighty-armed son of Subhadrā, all blew their respective conchshells.",https://vedabase.io/en/library/bg/1/16-18/
1/19,sa ghoṣo dhārtarāṣṭrāṇāṁhṛdayāni vyadārayatnabhaś ca pṛthivīṁ caivatumulo ’bhyanunādayan,"The blowing of these different conchshells became uproarious. Vibrating both in the sky and on the earth, it shattered the hearts of the sons of Dhṛtarāṣṭra.",https://vedabase.io/en/library/bg/1/19/
1/20,atha vyavasthitān dṛṣṭvādhārtarāṣṭrān kapi-dhvajaḥpravṛtte śastra-sampātedhanur udyamya pāṇḍavaḥhṛṣīkeśaṁ tadā vākyamidam āha mahī-pate,"At that time Arjuna, the son of Pāṇḍu, seated in the chariot bearing the flag marked with Hanumān, took up his bow and prepared to shoot his arrows. O King, after looking at the sons of Dhṛtarāṣṭra drawn in military array, Arjuna then spoke to Lord Kṛṣṇa these words.",https://vedabase.io/en/library/bg/1/20/
1/21-22,arjuna uvācasenayor ubhayor madhyerathaṁ sthāpaya me ’cyutayāvad etān nirīkṣe ’haṁyoddhu-kāmān avasthitān,"Arjuna said: O infallible one, please draw my chariot between the two armies so that I may see those present here, who desire to fight, and with whom I must contend in this great trial of arms.",https://vedabase.io/en/library/bg/1/21-22/
1/23,yotsyamānān avekṣe ’haṁya ete ’tra samāgatāḥdhārtarāṣṭrasya durbuddheryuddhe priya-cikīrṣavaḥ,"Let me see those who have come here to fight, wishing to please the evil-minded son of Dhṛtarāṣṭra.",https://vedabase.io/en/library/bg/1/23/
1/24,sañjaya uvācaevam ukto hṛṣīkeśoguḍākeśena bhāratasenayor ubhayor madhyesthāpayitvā rathottamam,"Sañjaya said: O descendant of Bharata, having thus been addressed by Arjuna, Lord Kṛṣṇa drew up the fine chariot in the midst of the armies of both parties.",https://vedabase.io/en/library/bg/1/24/
1/25,bhīṣma-droṇa-pramukhataḥsarveṣāṁ ca mahī-kṣitāmuvāca pārtha paśyaitānsamavetān kurūn iti,"In the presence of Bhīṣma, Droṇa and all the other chieftains of the world, the Lord said, “Just behold, Pārtha, all the Kurus assembled here.”",https://vedabase.io/en/library/bg/1/25/
1/26,tatrāpaśyat sthitān pārthaḥpitṝn atha pitāmahānācāryān mātulān bhrātṝnputrān pautrān sakhīṁs tathāśvaśurān suhṛdaś caivasenayor ubhayor api,"There Arjuna could see, within the midst of the armies of both parties, his fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, friends, and also his fathers-in-law and well-wishers.",https://vedabase.io/en/library/bg/1/26/
1/27,tān samīkṣya sa kaunteyaḥsarvān bandhūn avasthitānkṛpayā parayāviṣṭoviṣīdann idam abravīt,"When the son of Kuntī, Arjuna, saw all these different grades of friends and relatives, he became overwhelmed with compassion and spoke thus.",https://vedabase.io/en/library/bg/1/27/
1/28,arjuna uvācadṛṣṭvemaṁ sva-janaṁ kṛṣṇayuyutsuṁ samupasthitamsīdanti mama gātrāṇimukhaṁ ca pariśuṣyati,"Arjuna said: My dear Kṛṣṇa, seeing my friends and relatives present before me in such a fighting spirit, I feel the limbs of my body quivering and my mouth drying up.",https://vedabase.io/en/library/bg/1/28/
1/29,vepathuś ca śarīre meroma-harṣaś ca jāyategāṇḍīvaṁ sraṁsate hastāttvak caiva paridahyate,"My whole body is trembling, my hair is standing on end, my bow Gāṇḍīva is slipping from my hand, and my skin is burning.",https://vedabase.io/en/library/bg/1/29/
1/30,na ca śaknomy avasthātuṁbhramatīva ca me manaḥnimittāni ca paśyāmiviparītāni keśava,"I am now unable to stand here any longer. I am forgetting myself, and my mind is reeling. I see only causes of misfortune, O Kṛṣṇa, killer of the Keśī demon.",https://vedabase.io/en/library/bg/1/30/
1/31,na ca śreyo ’nupaśyāmihatvā sva-janam āhavena kāṅkṣe vijayaṁ kṛṣṇana ca rājyaṁ sukhāni ca,"I do not see how any good can come from killing my own kinsmen in this battle, nor can I, my dear Kṛṣṇa, desire any subsequent victory, kingdom or happiness.",https://vedabase.io/en/library/bg/1/31/
1/32-35,kiṁ no rājyena govindakiṁ bhogair jīvitena vāyeṣām arthe kāṅkṣitaṁ norājyaṁ bhogāḥ sukhāni ca,"O Govinda, of what avail to us are a kingdom, happiness or even life itself when all those for whom we may desire them are now arrayed on this battlefield? O Madhusūdana, when teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are ready to give up their lives and properties and are standing before me, why should I wish to kill them, even though they might otherwise kill me? O maintainer of all living entities, I am not prepared to fight with them even in exchange for the three worlds, let alone this earth. What pleasure will we derive from killing the sons of Dhṛtarāṣṭra?",https://vedabase.io/en/library/bg/1/32-35/
1/36,pāpam evāśrayed asmānhatvaitān ātatāyinaḥtasmān nārhā vayaṁ hantuṁdhārtarāṣṭrān sa-bāndhavānsva-janaṁ hi kathaṁ hatvāsukhinaḥ syāma mādhava,"Sin will overcome us if we slay such aggressors. Therefore it is not proper for us to kill the sons of Dhṛtarāṣṭra and our friends. What should we gain, O Kṛṣṇa, husband of the goddess of fortune, and how could we be happy by killing our own kinsmen?",https://vedabase.io/en/library/bg/1/36/
1/37-38,yady apy ete na paśyantilobhopahata-cetasaḥkula-kṣaya-kṛtaṁ doṣaṁmitra-drohe ca pātakam,"O Janārdana, although these men, their hearts overtaken by greed, see no fault in killing one’s family or quarreling with friends, why should we, who can see the crime in destroying a family, engage in these acts of sin?",https://vedabase.io/en/library/bg/1/37-38/
1/39,kula-kṣaye praṇaśyantikula-dharmāḥ sanātanāḥdharme naṣṭe kulaṁ kṛtsnamadharmo ’bhibhavaty uta,"With the destruction of the dynasty, the eternal family tradition is vanquished, and thus the rest of the family becomes involved in irreligion.",https://vedabase.io/en/library/bg/1/39/
1/40,adharmābhibhavāt kṛṣṇapraduṣyanti kula-striyaḥstrīṣu duṣṭāsu vārṣṇeyajāyate varṇa-saṅkaraḥ,"When irreligion is prominent in the family, O Kṛṣṇa, the women of the family become polluted, and from the degradation of womanhood, O descendant of Vṛṣṇi, comes unwanted progeny.",https://vedabase.io/en/library/bg/1/40/
1/41,saṅkaro narakāyaivakula-ghnānāṁ kulasya capatanti pitaro hy eṣāṁlupta-piṇḍodaka-kriyāḥ,"An increase of unwanted population certainly causes hellish life both for the family and for those who destroy the family tradition. The ancestors of such corrupt families fall down, because the performances for offering them food and water are entirely stopped.",https://vedabase.io/en/library/bg/1/41/
1/42,doṣair etaiḥ kula-ghnānāṁvarṇa-saṅkara-kārakaiḥutsādyante jāti-dharmāḥkula-dharmāś ca śāśvatāḥ,"By the evil deeds of those who destroy the family tradition and thus give rise to unwanted children, all kinds of community projects and family welfare activities are devastated.",https://vedabase.io/en/library/bg/1/42/
1/43,utsanna-kula-dharmāṇāṁmanuṣyāṇāṁ janārdananarake niyataṁ vāsobhavatīty anuśuśruma,"O Kṛṣṇa, maintainer of the people, I have heard by disciplic succession that those whose family traditions are destroyed dwell always in hell.",https://vedabase.io/en/library/bg/1/43/
1/44,aho bata mahat pāpaṁkartuṁ vyavasitā vayamyad rājya-sukha-lobhenahantuṁ sva-janam udyatāḥ,"Alas, how strange it is that we are preparing to commit greatly sinful acts. Driven by the desire to enjoy royal happiness, we are intent on killing our own kinsmen.",https://vedabase.io/en/library/bg/1/44/
1/45,yadi mām apratīkāramaśastraṁ śastra-pāṇayaḥdhārtarāṣṭrā raṇe hanyustan me kṣema-taraṁ bhavet,"Better for me if the sons of Dhṛtarāṣṭra, weapons in hand, were to kill me unarmed and unresisting on the battlefield.",https://vedabase.io/en/library/bg/1/45/
1/46,sañjaya uvācaevam uktvārjunaḥ saṅkhyerathopastha upāviśatvisṛjya sa-śaraṁ cāpaṁśoka-saṁvigna-mānasaḥ,"Sañjaya said: Arjuna, having thus spoken on the battlefield, cast aside his bow and arrows and sat down on the chariot, his mind overwhelmed with grief.",https://vedabase.io/en/library/bg/1/46/
2/1,sañjaya uvācataṁ tathā kṛpayāviṣṭamaśru-pūrṇākulekṣaṇamviṣīdantam idaṁ vākyamuvāca madhusūdanaḥ,"Sañjaya said: Seeing Arjuna full of compassion, his mind depressed, his eyes full of tears, Madhusūdana, Kṛṣṇa, spoke the following words.",https://vedabase.io/en/library/bg/2/1/
2/2,śrī-bhagavān uvācakutas tvā kaśmalam idaṁviṣame samupasthitamanārya-juṣṭam asvargyamakīrti-karam arjuna,"The Supreme Personality of Godhead said: My dear Arjuna, how have these impurities come upon you? They are not at all befitting a man who knows the value of life. They lead not to higher planets but to infamy.",https://vedabase.io/en/library/bg/2/2/
2/3,klaibyaṁ mā sma gamaḥ pārthanaitat tvayy upapadyatekṣudraṁ hṛdaya-daurbalyaṁtyaktvottiṣṭha paran-tapa,"O son of Pṛthā, do not yield to this degrading impotence. It does not become you. Give up such petty weakness of heart and arise, O chastiser of the enemy.",https://vedabase.io/en/library/bg/2/3/
2/4,arjuna uvācakathaṁ bhīṣmam ahaṁ saṅkhyedroṇaṁ ca madhusūdanaiṣubhiḥ pratiyotsyāmipūjārhāv ari-sūdana,"Arjuna said: O killer of enemies, O killer of Madhu, how can I counterattack with arrows in battle men like Bhīṣma and Droṇa, who are worthy of my worship?",https://vedabase.io/en/library/bg/2/4/
2/5,gurūn ahatvā hi mahānubhāvānśreyo bhoktuṁ bhaikṣyam apīha lokehatvārtha-kāmāṁs tu gurūn ihaivabhuñjīya bhogān rudhira-pradigdhān,"It would be better to live in this world by begging than to live at the cost of the lives of great souls who are my teachers. Even though desiring worldly gain, they are superiors. If they are killed, everything we enjoy will be tainted with blood.",https://vedabase.io/en/library/bg/2/5/
2/6,na caitad vidmaḥ kataran no garīyoyad vā jayema yadi vā no jayeyuḥyān eva hatvā na jijīviṣāmaste ’vasthitāḥ pramukhe dhārtarāṣṭrāḥ,"Nor do we know which is better – conquering them or being conquered by them. If we killed the sons of Dhṛtarāṣṭra, we should not care to live. Yet they are now standing before us on the battlefield.",https://vedabase.io/en/library/bg/2/6/
2/7,kārpaṇya-doṣopahata-svabhāvaḥpṛcchāmi tvāṁ dharma-sammūḍha-cetāḥyac chreyaḥ syān niścitaṁ brūhi tan meśiṣyas te ’haṁ śādhi māṁ tvāṁ prapannam,"Now I am confused about my duty and have lost all composure because of miserly weakness. In this condition I am asking You to tell me for certain what is best for me. Now I am Your disciple, and a soul surrendered unto You. Please instruct me.",https://vedabase.io/en/library/bg/2/7/
2/8,na hi prapaśyāmi mamāpanudyādyac chokam ucchoṣaṇam indriyāṇāmavāpya bhūmāv asapatnam ṛddhaṁrājyaṁ surāṇām api cādhipatyam,"I can find no means to drive away this grief which is drying up my senses. I will not be able to dispel it even if I win a prosperous, unrivaled kingdom on earth with sovereignty like the demigods in heaven.",https://vedabase.io/en/library/bg/2/8/
2/9,sañjaya uvācaevam uktvā hṛṣīkeśaṁguḍākeśaḥ paran-tapaḥna yotsya iti govindamuktvā tūṣṇīṁ babhūva ha,"Sañjaya said: Having spoken thus, Arjuna, chastiser of enemies, told Kṛṣṇa, “Govinda, I shall not fight,” and fell silent.",https://vedabase.io/en/library/bg/2/9/
2/10,tam uvāca hṛṣīkeśaḥprahasann iva bhāratasenayor ubhayor madhyeviṣīdantam idaṁ vacaḥ,"O descendant of Bharata, at that time Kṛṣṇa, smiling, in the midst of both the armies, spoke the following words to the grief-stricken Arjuna.",https://vedabase.io/en/library/bg/2/10/
2/11,śrī-bhagavān uvācaaśocyān anvaśocas tvaṁprajñā-vādāṁś ca bhāṣasegatāsūn agatāsūṁś canānuśocanti paṇḍitāḥ,"The Supreme Personality of Godhead said: While speaking learned words, you are mourning for what is not worthy of grief. Those who are wise lament neither for the living nor for the dead.",https://vedabase.io/en/library/bg/2/11/
2/12,na tv evāhaṁ jātu nāsaṁna tvaṁ neme janādhipāḥna caiva na bhaviṣyāmaḥsarve vayam ataḥ param,"Never was there a time when I did not exist, nor you, nor all these kings; nor in the future shall any of us cease to be.",https://vedabase.io/en/library/bg/2/12/
2/13,dehino ’smin yathā dehekaumāraṁ yauvanaṁ jarātathā dehāntara-prāptirdhīras tatra na muhyati,"As the embodied soul continuously passes, in this body, from boyhood to youth to old age, the soul similarly passes into another body at death. A sober person is not bewildered by such a change.",https://vedabase.io/en/library/bg/2/13/
2/14,mātrā-sparśās tu kaunteyaśītoṣṇa-sukha-duḥkha-dāḥāgamāpāyino ’nityāstāṁs titikṣasva bhārata,"O son of Kuntī, the nonpermanent appearance of happiness and distress, and their disappearance in due course, are like the appearance and disappearance of winter and summer seasons. They arise from sense perception, O scion of Bharata, and one must learn to tolerate them without being disturbed.",https://vedabase.io/en/library/bg/2/14/
2/15,yaṁ hi na vyathayanty etepuruṣaṁ puruṣarṣabhasama-duḥkha-sukhaṁ dhīraṁso ’mṛtatvāya kalpate,"O best among men [Arjuna], the person who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation.",https://vedabase.io/en/library/bg/2/15/
2/16,nāsato vidyate bhāvonābhāvo vidyate sataḥubhayor api dṛṣṭo ’ntastv anayos tattva-darśibhiḥ,Those who are seers of the truth have concluded that of the nonexistent [the material body] there is no endurance and of the eternal [the soul] there is no change. This they have concluded by studying the nature of both.,https://vedabase.io/en/library/bg/2/16/
2/17,avināśi tu tad viddhiyena sarvam idaṁ tatamvināśam avyayasyāsyana kaścit kartum arhati,That which pervades the entire body you should know to be indestructible. No one is able to destroy that imperishable soul.,https://vedabase.io/en/library/bg/2/17/
2/18,antavanta ime dehānityasyoktāḥ śarīriṇaḥanāśino ’prameyasyatasmād yudhyasva bhārata,"The material body of the indestructible, immeasurable and eternal living entity is sure to come to an end; therefore, fight, O descendant of Bharata.",https://vedabase.io/en/library/bg/2/18/
2/19,ya enaṁ vetti hantāraṁyaś cainaṁ manyate hatamubhau tau na vijānītonāyaṁ hanti na hanyate,"Neither he who thinks the living entity the slayer nor he who thinks it slain is in knowledge, for the self slays not nor is slain.",https://vedabase.io/en/library/bg/2/19/
2/20,na jāyate mriyate vā kadācinnāyaṁ bhūtvā bhavitā vā na bhūyaḥajo nityaḥ śāśvato ’yaṁ purāṇona hanyate hanyamāne śarīre,"For the soul there is neither birth nor death at any time. He has not come into being, does not come into being, and will not come into being. He is unborn, eternal, ever-existing and primeval. He is not slain when the body is slain.",https://vedabase.io/en/library/bg/2/20/
2/21,vedāvināśinaṁ nityaṁya enam ajam avyayamkathaṁ sa puruṣaḥ pārthakaṁ ghātayati hanti kam,"O Pārtha, how can a person who knows that the soul is indestructible, eternal, unborn and immutable kill anyone or cause anyone to kill?",https://vedabase.io/en/library/bg/2/21/
2/22,vāsāṁsi jīrṇāni yathā vihāyanavāni gṛhṇāti naro ’parāṇitathā śarīrāṇi vihāya jīrṇānyanyāni saṁyāti navāni dehī,"As a person puts on new garments, giving up old ones, the soul similarly accepts new material bodies, giving up the old and useless ones.",https://vedabase.io/en/library/bg/2/22/
2/23,nainaṁ chindanti śastrāṇinainaṁ dahati pāvakaḥna cainaṁ kledayanty āpona śoṣayati mārutaḥ,"The soul can never be cut to pieces by any weapon, nor burned by fire, nor moistened by water, nor withered by the wind.",https://vedabase.io/en/library/bg/2/23/
2/24,acchedyo ’yam adāhyo ’yamakledyo ’śoṣya eva canityaḥ sarva-gataḥ sthāṇuracalo ’yaṁ sanātanaḥ,"This individual soul is unbreakable and insoluble, and can be neither burned nor dried. He is everlasting, present everywhere, unchangeable, immovable and eternally the same.",https://vedabase.io/en/library/bg/2/24/
2/25,avyakto ’yam acintyo ’yamavikāryo ’yam ucyatetasmād evaṁ viditvainaṁnānuśocitum arhasi,"It is said that the soul is invisible, inconceivable and immutable. Knowing this, you should not grieve for the body.",https://vedabase.io/en/library/bg/2/25/
2/26,atha cainaṁ nitya-jātaṁnityaṁ vā manyase mṛtamtathāpi tvaṁ mahā-bāhonainaṁ śocitum arhasi,"If, however, you think that the soul [or the symptoms of life] will always be born and die forever, you still have no reason to lament, O mighty-armed.",https://vedabase.io/en/library/bg/2/26/
2/27,jātasya hi dhruvo mṛtyurdhruvaṁ janma mṛtasya catasmād aparihārye ’rthena tvaṁ śocitum arhasi,"One who has taken his birth is sure to die, and after death one is sure to take birth again. Therefore, in the unavoidable discharge of your duty, you should not lament.",https://vedabase.io/en/library/bg/2/27/
2/28,avyaktādīni bhūtānivyakta-madhyāni bhārataavyakta-nidhanāny evatatra kā paridevanā,"All created beings are unmanifest in their beginning, manifest in their interim state, and unmanifest again when annihilated. So what need is there for lamentation?",https://vedabase.io/en/library/bg/2/28/
2/29,āścarya-vat paśyati kaścid enamāścarya-vad vadati tathaiva cānyaḥāścarya-vac cainam anyaḥ śṛṇotiśrutvāpy enaṁ veda na caiva kaścit,"Some look on the soul as amazing, some describe him as amazing, and some hear of him as amazing, while others, even after hearing about him, cannot understand him at all.",https://vedabase.io/en/library/bg/2/29/
2/30,dehī nityam avadhyo ’yaṁdehe sarvasya bhāratatasmāt sarvāṇi bhūtānina tvaṁ śocitum arhasi,"O descendant of Bharata, he who dwells in the body can never be slain. Therefore you need not grieve for any living being.",https://vedabase.io/en/library/bg/2/30/
2/31,sva-dharmam api cāvekṣyana vikampitum arhasidharmyād dhi yuddhāc chreyo ’nyatkṣatriyasya na vidyate,"Considering your specific duty as a kṣatriya, you should know that there is no better engagement for you than fighting on religious principles; and so there is no need for hesitation.",https://vedabase.io/en/library/bg/2/31/
2/32,yadṛcchayā copapannaṁsvarga-dvāram apāvṛtamsukhinaḥ kṣatriyāḥ pārthalabhante yuddham īdṛśam,"O Pārtha, happy are the kṣatriyas to whom such fighting opportunities come unsought, opening for them the doors of the heavenly planets.",https://vedabase.io/en/library/bg/2/32/
2/33,atha cet tvam imaṁ dharmyaṁsaṅgrāmaṁ na kariṣyasitataḥ sva-dharmaṁ kīrtiṁ cahitvā pāpam avāpsyasi,"If, however, you do not perform your religious duty of fighting, then you will certainly incur sins for neglecting your duties and thus lose your reputation as a fighter.",https://vedabase.io/en/library/bg/2/33/
2/34,akīrtiṁ cāpi bhūtānikathayiṣyanti te ’vyayāmsambhāvitasya cākīrtirmaraṇād atiricyate,"People will always speak of your infamy, and for a respectable person, dishonor is worse than death.",https://vedabase.io/en/library/bg/2/34/
2/35,bhayād raṇād uparataṁmaṁsyante tvāṁ mahā-rathāḥyeṣāṁ ca tvaṁ bahu-matobhūtvā yāsyasi lāghavam,"The great generals who have highly esteemed your name and fame will think that you have left the battlefield out of fear only, and thus they will consider you insignificant.",https://vedabase.io/en/library/bg/2/35/
2/36,avācya-vādāṁś ca bahūnvadiṣyanti tavāhitāḥnindantas tava sāmarthyaṁtato duḥkha-taraṁ nu kim,Your enemies will describe you in many unkind words and scorn your ability. What could be more painful for you?,https://vedabase.io/en/library/bg/2/36/
2/37,hato vā prāpsyasi svargaṁjitvā vā bhokṣyase mahīmtasmād uttiṣṭha kaunteyayuddhāya kṛta-niścayaḥ,"O son of Kuntī, either you will be killed on the battlefield and attain the heavenly planets, or you will conquer and enjoy the earthly kingdom. Therefore, get up with determination and fight.",https://vedabase.io/en/library/bg/2/37/
2/38,sukha-duḥkhe same kṛtvālābhālābhau jayājayautato yuddhāya yujyasvanaivaṁ pāpam avāpsyasi,"Do thou fight for the sake of fighting, without considering happiness or distress, loss or gain, victory or defeat – and by so doing you shall never incur sin.",https://vedabase.io/en/library/bg/2/38/
2/39,eṣā te ’bhihitā sāṅkhyebuddhir yoge tv imāṁ śṛṇubuddhyā yukto yayā pārthakarma-bandhaṁ prahāsyasi,"Thus far I have described this knowledge to you through analytical study. Now listen as I explain it in terms of working without fruitive results. O son of Pṛthā, when you act in such knowledge you can free yourself from the bondage of works.",https://vedabase.io/en/library/bg/2/39/
2/40,nehābhikrama-nāśo ’stipratyavāyo na vidyatesv-alpam apy asya dharmasyatrāyate mahato bhayāt,"In this endeavor there is no loss or diminution, and a little advancement on this path can protect one from the most dangerous type of fear.",https://vedabase.io/en/library/bg/2/40/
2/41,vyavasāyātmikā buddhirekeha kuru-nandanabahu-śākhā hy anantāś cabuddhayo ’vyavasāyinām,"Those who are on this path are resolute in purpose, and their aim is one. O beloved child of the Kurus, the intelligence of those who are irresolute is many-branched.",https://vedabase.io/en/library/bg/2/41/
2/42-43,yām imāṁ puṣpitāṁ vācaṁpravadanty avipaścitaḥveda-vāda-ratāḥ pārthanānyad astīti vādinaḥ,"Men of small knowledge are very much attached to the flowery words of the Vedas, which recommend various fruitive activities for elevation to heavenly planets, resultant good birth, power, and so forth. Being desirous of sense gratification and opulent life, they say that there is nothing more than this.",https://vedabase.io/en/library/bg/2/42-43/
2/44,bhogaiśvarya-prasaktānāṁtayāpahṛta-cetasāmvyavasāyātmikā buddhiḥsamādhau na vidhīyate,"In the minds of those who are too attached to sense enjoyment and material opulence, and who are bewildered by such things, the resolute determination for devotional service to the Supreme Lord does not take place.",https://vedabase.io/en/library/bg/2/44/
2/45,trai-guṇya-viṣayā vedānistrai-guṇyo bhavārjunanirdvandvo nitya-sattva-sthoniryoga-kṣema ātmavān,"The Vedas deal mainly with the subject of the three modes of material nature. O Arjuna, become transcendental to these three modes. Be free from all dualities and from all anxieties for gain and safety, and be established in the self.",https://vedabase.io/en/library/bg/2/45/
2/46,yāvān artha uda-pānesarvataḥ samplutodaketāvān sarveṣu vedeṣubrāhmaṇasya vijānataḥ,"All purposes served by a small well can at once be served by a great reservoir of water. Similarly, all the purposes of the Vedas can be served to one who knows the purpose behind them.",https://vedabase.io/en/library/bg/2/46/
2/47,karmaṇy evādhikāras temā phaleṣu kadācanamā karma-phala-hetur bhūrmā te saṅgo ’stv akarmaṇi,"You have a right to perform your prescribed duty, but you are not entitled to the fruits of action. Never consider yourself the cause of the results of your activities, and never be attached to not doing your duty.",https://vedabase.io/en/library/bg/2/47/
2/48,yoga-sthaḥ kuru karmāṇisaṅgaṁ tyaktvā dhanañ-jayasiddhy-asiddhyoḥ samo bhūtvāsamatvaṁ yoga ucyate,"Perform your duty equipoised, O Arjuna, abandoning all attachment to success or failure. Such equanimity is called yoga.",https://vedabase.io/en/library/bg/2/48/
2/49,dūreṇa hy avaraṁ karmabuddhi-yogād dhanañ-jayabuddhau śaranam anvicchakṛpaṇāḥ phala-hetavaḥ,"O Dhanañjaya, keep all abominable activities far distant by devotional service, and in that consciousness surrender unto the Lord. Those who want to enjoy the fruits of their work are misers.",https://vedabase.io/en/library/bg/2/49/
2/50,buddhi-yukto jahātīhaubhe sukṛta-duṣkṛtetasmād yogāya yujyasvayogaḥ karmasu kauśalam,"A man engaged in devotional service rids himself of both good and bad reactions even in this life. Therefore strive for yoga, which is the art of all work.",https://vedabase.io/en/library/bg/2/50/
